snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,canonical_attraction_id,canonical_attraction_name,canonical_category,canonical_match_source,access_mode,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,686,Main Street Cinema,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,main street cinema,Main Street Cinema,disneyland-main-street-cinema,Main Street Cinema,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,691,Main Street Vehicles,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,main street vehicles,Main Street Vehicles,disneyland-main-street-vehicles,Main Street Vehicles,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,14915,Opera House - Walt Disney - A Magical Life,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,opera house - walt disney - a magical life,Opera House - Walt Disney - A Magical Life,disneyland-opera-house-walt-disney-a-magical-life,Opera House - Walt Disney - A Magical Life,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,695,The Disney Gallery,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,the disney gallery,The Disney Gallery,disneyland-the-disney-gallery,The Disney Gallery,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Main Street U.S.A,14923,Walt Disney - A Magical Life,FALSE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,walt disney - a magical life,Walt Disney - A Magical Life,disneyland-walt-disney-a-magical-life,Walt Disney - A Magical Life,attraction,auto_normalized,standby,FALSE,FALSE,4.7,,closed|temporary_downtime,status_model_only
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,324,Chip 'n' Dale's GADGETcoaster,TRUE,5,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,chip 'n' dale's gadgetcoaster,Chip 'n' Dale's GADGETcoaster,disneyland-chip-n-dale-s-gadgetcoaster,Chip 'n' Dale's GADGETcoaster,attraction,auto_normalized,standby,FALSE,FALSE,4.7,5,temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,13814,Donald's Duck Pond,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,donald's duck pond,Donald's Duck Pond,disneyland-donald-s-duck-pond,Donald's Duck Pond,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,11980,Goofy's How-to-Play Yard,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,goofy's how-to-play yard,Goofy's How-to-Play Yard,disneyland-goofy-s-how-to-play-yard,Goofy's How-to-Play Yard,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,11526,Mickey & Minnie's Runaway Railway,FALSE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,mickey and minnie's runaway railway,Mickey & Minnie's Runaway Railway,disneyland-mickey-and-minnie-s-runaway-railway,Mickey & Minnie's Runaway Railway,attraction,auto_normalized,standby,FALSE,FALSE,4.7,,closed|temporary_downtime,status_model_only
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,709,Mickey's House and Meet Mickey Mouse,TRUE,35,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,mickey's house and meet mickey mouse,Mickey's House and Meet Mickey Mouse,disneyland-mickeys-house-and-meet-mickey-mouse,Mickey's House and Meet Mickey Mouse,attraction,alias_exact,standby,FALSE,FALSE,4.7,35,temporary_downtime,standby_wait_model
